Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
3900,1.5424879,-0.08499999810010195,7.5,0.15268642,0.8599999845027924
3910,1.5891471,None,None,0.18948409,-1.0299999713897705
3920,1.5648057,None,None,0.2083714,None
3930,1.5648034,0.7200000062584877,23.0,0.19530876,0.7200000435113907
3940,1.485464,0.9300000015646219,6.0,0.23179154,0.9300000220537186
3950,1.5648006,None,None,0.21906182,None
3960,1.5871156,None,None,0.19757763,None
3970,1.6094265,None,None,0.20336795,None
3980,1.6094294,None,None,0.20602988,None
3990,1.6094296,None,None,0.20296949,None
4000,1.5424874,None,None,0.20043431,None
4010,1.5424855,None,None,0.21220204,None
4020,1.4309152,None,None,0.21042241,None
4030,1.4978558,-0.46999998949468136,38.0,0.21360926,0.09000006318092346
4040,1.6094296,None,None,0.1869323,-1.0299999713897705
4050,1.6094277,None,None,0.19989905,None
4060,1.5647993,None,None,0.18335006,None
4070,1.4309161,None,None,0.19913572,None
4080,1.520173,None,None,0.1989583,None
4090,1.4532299,None,None,0.19524887,None
4100,1.4978582,None,None,0.18945,None
